data,cotacao_compra,cotacao_venda
2025-03-17 10:04:28.399,6.2225,6.2243
2025-03-17 11:05:26.343,6.2422,6.244
2025-03-17 12:11:27.488,6.2293,6.2306
2025-03-17 13:11:28.763,6.2149,6.2161
2025-03-17 13:11:28.771,6.2333,6.2345
2025-03-18 10:07:27.624,6.2018,6.203
2025-03-18 11:06:25.582,6.2147,6.2159
2025-03-18 12:02:26.649,6.2104,6.2121
2025-03-18 13:05:31.300,6.1943,6.1955
2025-03-18 13:05:31.310,6.211,6.2122
2025-03-19 10:05:28.140,6.1896,6.1908
2025-03-19 11:09:26.722,6.1845,6.1857
2025-03-19 12:10:25.217,6.1552,6.1564
2025-03-19 13:08:27.720,6.1455,6.1467
2025-03-19 13:08:27.744,6.1625,6.1637
2025-03-20 10:10:26.220,6.1208,6.122
2025-03-20 11:08:26.102,6.1306,6.1324
2025-03-20 12:04:25.157,6.1301,6.1313
2025-03-20 13:05:28.104,6.1549,6.1561
2025-03-20 13:05:28.111,6.1418,6.143
2025-03-21 10:09:27.171,6.1932,6.1944
2025-03-21 11:07:27.038,6.1997,6.2015
2025-03-21 12:08:25.758,6.201,6.2028
2025-03-21 13:03:25.482,6.1833,6.1851
2025-03-21 13:03:25.486,6.1842,6.186
2025-03-24 10:04:26.966,6.2347,6.2365
2025-03-24 11:02:27.529,6.1913,6.1931
2025-03-24 12:12:58.114,6.1933,6.1945
2025-03-24 13:06:25.634,6.1849,6.1861
2025-03-24 13:06:25.642,6.1954,6.1967
2025-03-25 10:07:25.540,6.1983,6.2001
2025-03-25 11:03:25.191,6.1725,6.1737
2025-03-25 12:09:25.370,6.1397,6.1408
2025-03-25 13:04:31.086,6.1395,6.1407
2025-03-25 13:04:31.093,6.1562,6.1574
2025-03-26 10:11:25.939,6.1738,6.1751
2025-03-26 11:03:24.970,6.1725,6.1738
2025-03-26 12:07:25.251,6.1785,6.1797
2025-03-26 13:05:51.719,6.1838,6.1856
2025-03-26 13:05:51.728,6.1761,6.1779
2025-03-27 10:02:27.404,6.2103,6.2115
2025-03-27 11:11:25.156,6.2013,6.2025
2025-03-27 12:05:27.581,6.1945,6.1963
2025-03-27 13:04:05.639,6.1941,6.1953
2025-03-27 13:04:05.646,6.206,6.2072
2025-03-28 10:03:26.389,6.2239,6.2251
2025-03-28 11:09:04.746,6.2214,6.2232
2025-03-28 12:10:26.480,6.2438,6.245
2025-03-28 13:02:32.683,6.2425,6.2443
2025-03-28 13:02:32.689,6.2405,6.2423
2025-03-31 10:07:26.575,6.223,6.2242
2025-03-31 11:03:25.744,6.2096,6.2109
2025-03-31 12:06:27.127,6.1874,6.1886
2025-03-31 13:11:27.500,6.1888,6.19
2025-03-31 13:11:27.506,6.1981,6.1993
2025-04-01 10:06:26.457,6.1786,6.1804
2025-04-01 11:07:28.952,6.1637,6.1655
2025-04-01 12:07:26.541,6.1479,6.1491
2025-04-01 13:07:29.546,6.1404,6.1422
2025-04-01 13:07:29.553,6.1597,6.1615
2025-04-02 10:05:26.828,6.1376,6.1393
2025-04-02 11:02:26.521,6.1552,6.1592
2025-04-02 12:07:27.258,6.196,6.1971
2025-04-02 13:02:29.935,6.1942,6.1954
2025-04-02 13:02:29.942,6.1853,6.1864
2025-04-03 10:08:26.905,6.2289,6.2307
2025-04-03 11:08:26.211,6.2075,6.2115
2025-04-03 12:11:26.577,6.2252,6.2269
2025-04-03 13:03:27.747,6.1915,6.1928
2025-04-03 13:03:27.756,6.1949,6.196
2025-04-04 10:05:27.648,6.314,6.3164
2025-04-04 11:11:26.433,6.3587,6.3599
2025-04-04 12:11:28.001,6.3686,6.3698
2025-04-04 13:07:28.522,6.3924,6.3942
2025-04-04 13:07:28.528,6.3623,6.3641
2025-04-07 10:03:08.751,6.4376,6.4394
2025-04-07 11:03:26.863,6.437,6.4406
2025-04-07 12:11:45.424,6.4121,6.4133
2025-04-07 13:09:28.175,6.4681,6.4693
2025-04-07 13:09:28.183,6.424,6.4252
2025-04-08 10:10:26.868,6.467,6.4682
2025-04-08 11:06:26.010,6.4368,6.4386
2025-04-08 12:10:27.734,6.5027,6.5046
2025-04-08 13:04:41.068,6.5362,6.5381
2025-04-08 13:04:41.076,6.477,6.4788
2025-04-09 10:09:27.156,6.7284,6.7303
2025-04-09 11:10:27.992,6.692,6.6939
2025-04-09 12:06:26.570,6.6889,6.6908
2025-04-09 13:06:01.572,6.6719,6.6737
2025-04-09 13:06:01.578,6.6883,6.6902
2025-04-10 10:04:26.640,6.5347,6.5366
2025-04-10 11:06:26.835,6.5573,6.5592
2025-04-10 12:02:27.575,6.6233,6.6252
2025-04-10 13:09:27.614,6.6426,6.645
2025-04-10 13:09:27.619,6.6119,6.6144
2025-04-11 10:05:24.709,6.6737,6.6756
2025-04-11 11:05:25.913,6.6845,6.6876
2025-04-11 12:02:47.490,6.6762,6.678
2025-04-11 13:08:27.760,6.6371,6.6383
2025-04-11 13:08:27.767,6.6495,6.6508
