data,cotacao_compra,cotacao_venda
2025-03-17 10:04:28.399,7.4041,7.4066
2025-03-17 11:05:26.343,7.4289,7.4326
2025-03-17 12:11:27.488,7.4083,7.4097
2025-03-17 13:11:28.763,7.3878,7.3909
2025-03-17 13:11:28.771,7.4096,7.4127
2025-03-18 10:07:27.624,7.3716,7.3729
2025-03-18 11:06:25.582,7.3847,7.3883
2025-03-18 12:02:26.649,7.3771,7.3802
2025-03-18 13:05:31.300,7.3605,7.3635
2025-03-18 13:05:31.310,7.3803,7.3834
2025-03-19 10:05:28.140,7.3622,7.3652
2025-03-19 11:09:26.722,7.3597,7.3627
2025-03-19 12:10:25.217,7.3332,7.3346
2025-03-19 13:08:27.720,7.3251,7.3282
2025-03-19 13:08:27.744,7.3454,7.3484
2025-03-20 10:10:26.220,7.3151,7.3181
2025-03-20 11:08:26.102,7.3365,7.3384
2025-03-20 12:04:25.157,7.3386,7.3399
2025-03-20 13:05:28.104,7.3613,7.3626
2025-03-20 13:05:28.111,7.3456,7.3469
2025-03-21 10:09:27.171,7.3967,7.3981
2025-03-21 11:07:27.038,7.4051,7.4065
2025-03-21 12:08:25.758,7.4118,7.4131
2025-03-21 13:03:25.482,7.3781,7.3795
2025-03-21 13:03:25.486,7.3793,7.3807
2025-03-24 10:04:26.966,7.4501,7.4555
2025-03-24 11:02:27.529,7.4086,7.4134
2025-03-24 12:12:58.114,7.4113,7.4166
2025-03-24 13:06:25.634,7.3967,7.4015
2025-03-24 13:06:25.642,7.4094,7.4142
2025-03-25 10:07:25.540,7.4182,7.4213
2025-03-25 11:03:25.191,7.3862,7.3899
2025-03-25 12:09:25.370,7.3514,7.3549
2025-03-25 13:04:31.086,7.3585,7.3598
2025-03-25 13:04:31.093,7.3785,7.3799
2025-03-26 10:11:25.939,7.3801,7.3832
2025-03-26 11:03:24.970,7.3791,7.3827
2025-03-26 12:07:25.251,7.385,7.3863
2025-03-26 13:05:51.719,7.3908,7.3944
2025-03-26 13:05:51.728,7.3815,7.3851
2025-03-27 10:02:27.404,7.4521,7.4552
2025-03-27 11:11:25.156,7.4365,7.4395
2025-03-27 12:05:27.581,7.4323,7.4348
2025-03-27 13:04:05.639,7.4342,7.4372
2025-03-27 13:04:05.646,7.4484,7.4515
2025-03-28 10:03:26.389,7.4666,7.4697
2025-03-28 11:09:04.746,7.4561,7.458
2025-03-28 12:10:26.480,7.4685,7.4716
2025-03-28 13:02:32.683,7.4623,7.466
2025-03-28 13:02:32.689,7.4599,7.4635
2025-03-31 10:07:26.575,7.4481,7.4518
2025-03-31 11:03:25.744,7.4294,7.4307
2025-03-31 12:06:27.127,7.3931,7.3968
2025-03-31 13:11:27.500,7.3898,7.3935
2025-03-31 13:11:27.506,7.4009,7.4046
2025-04-01 10:06:26.457,7.3831,7.3845
2025-04-01 11:07:28.952,7.3628,7.3653
2025-04-01 12:07:26.541,7.3493,7.3523
2025-04-01 13:07:29.546,7.3471,7.3484
2025-04-01 13:07:29.553,7.3702,7.3716
2025-04-02 10:05:26.828,7.3422,7.3452
2025-04-02 11:02:26.521,7.3579,7.3592
2025-04-02 12:07:27.258,7.3983,7.4013
2025-04-02 13:02:29.935,7.3935,7.3965
2025-04-02 13:02:29.942,7.3828,7.3858
2025-04-03 10:08:26.905,7.3961,7.3986
2025-04-03 11:08:26.211,7.366,7.369
2025-04-03 12:11:26.577,7.372,7.376
2025-04-03 13:03:27.747,7.3458,7.3477
2025-04-03 13:03:27.756,7.3497,7.3515
2025-04-04 10:05:27.648,7.4473,7.452
2025-04-04 11:11:26.433,7.4993,7.5012
2025-04-04 12:11:28.001,7.5007,7.5021
2025-04-04 13:07:28.522,7.5022,7.5035
2025-04-04 13:07:28.528,7.4669,7.4683
2025-04-07 10:03:08.751,7.531,7.5324
2025-04-07 11:03:26.863,7.5314,7.5333
2025-04-07 12:11:45.424,7.4864,7.4907
2025-04-07 13:09:28.175,7.5416,7.5459
2025-04-07 13:09:28.183,7.4902,7.4945
2025-04-08 10:10:26.868,7.5444,7.5487
2025-04-08 11:06:26.010,7.5264,7.5307
2025-04-08 12:10:27.734,7.6019,7.6063
2025-04-08 13:04:41.068,7.6481,7.6494
2025-04-08 13:04:41.076,7.5787,7.5801
2025-04-09 10:09:27.156,7.7788,7.7802
2025-04-09 11:10:27.992,7.7415,7.7435
2025-04-09 12:06:26.570,7.7306,7.732
2025-04-09 13:06:01.572,7.7183,7.722
2025-04-09 13:06:01.578,7.7373,7.7411
2025-04-10 10:04:26.640,7.6099,7.613
2025-04-10 11:06:26.835,7.6164,7.6178
2025-04-10 12:02:27.575,7.6759,7.6778
2025-04-10 13:09:27.614,7.6806,7.6843
2025-04-10 13:09:27.619,7.6452,7.6489
2025-04-11 10:05:24.709,7.684,7.6883
2025-04-11 11:05:25.913,7.7068,7.7094
2025-04-11 12:02:47.490,7.6884,7.6903
2025-04-11 13:08:27.760,7.6459,7.6502
2025-04-11 13:08:27.767,7.6603,7.6646
