data,cotacao_compra,cotacao_venda
2025-03-17 10:04:28.399,0.03835,0.03836
2025-03-17 11:05:26.343,0.03847,0.03848
2025-03-17 12:11:27.488,0.03841,0.03841
2025-03-17 13:11:28.763,0.03831,0.03831
2025-03-17 13:11:28.771,0.03842,0.03843
2025-03-18 10:07:27.624,0.03793,0.03794
2025-03-18 11:06:25.582,0.03808,0.03808
2025-03-18 12:02:26.649,0.03801,0.03801
2025-03-18 13:05:31.300,0.03792,0.03793
2025-03-18 13:05:31.310,0.03802,0.03804
2025-03-19 10:05:28.140,0.0379,0.03792
2025-03-19 11:09:26.722,0.03782,0.03783
2025-03-19 12:10:25.217,0.03773,0.03774
2025-03-19 13:08:27.720,0.03765,0.03767
2025-03-19 13:08:27.744,0.03776,0.03777
2025-03-20 10:10:26.220,0.03802,0.03804
2025-03-20 11:08:26.102,0.03806,0.03807
2025-03-20 12:04:25.157,0.03806,0.03807
2025-03-20 13:05:28.104,0.03812,0.03813
2025-03-20 13:05:28.111,0.03804,0.03805
2025-03-21 10:09:27.171,0.03846,0.03846
2025-03-21 11:07:27.038,0.03845,0.03846
2025-03-21 12:08:25.758,0.03848,0.03849
2025-03-21 13:03:25.482,0.03841,0.03842
2025-03-21 13:03:25.486,0.03842,0.03842
2025-03-24 10:04:26.966,0.03842,0.03844
2025-03-24 11:02:27.529,0.03818,0.03819
2025-03-24 12:12:58.114,0.03811,0.03812
2025-03-24 13:06:25.634,0.03801,0.03802
2025-03-24 13:06:25.642,0.03807,0.03809
2025-03-25 10:07:25.540,0.03819,0.03819
2025-03-25 11:03:25.191,0.0381,0.03811
2025-03-25 12:09:25.370,0.03792,0.03793
2025-03-25 13:04:31.086,0.03795,0.03795
2025-03-25 13:04:31.093,0.03805,0.03806
2025-03-26 10:11:25.939,0.03807,0.03807
2025-03-26 11:03:24.970,0.03809,0.0381
2025-03-26 12:07:25.251,0.03803,0.03804
2025-03-26 13:05:51.719,0.03807,0.03808
2025-03-26 13:05:51.728,0.03802,0.03803
2025-03-27 10:02:27.404,0.03819,0.0382
2025-03-27 11:11:25.156,0.03813,0.03814
2025-03-27 12:05:27.581,0.03802,0.03803
2025-03-27 13:04:05.639,0.03798,0.038
2025-03-27 13:04:05.646,0.03806,0.03807
2025-03-28 10:03:26.389,0.03829,0.03831
2025-03-28 11:09:04.746,0.03826,0.03827
2025-03-28 12:10:26.480,0.03844,0.03845
2025-03-28 13:02:32.683,0.03837,0.03839
2025-03-28 13:02:32.689,0.03836,0.03838
2025-03-31 10:07:26.575,0.0385,0.0385
2025-03-31 11:03:25.744,0.03839,0.03839
2025-03-31 12:06:27.127,0.0383,0.03832
2025-03-31 13:11:27.500,0.03824,0.03825
2025-03-31 13:11:27.506,0.0383,0.03831
2025-04-01 10:06:26.457,0.03833,0.03834
2025-04-01 11:07:28.952,0.03823,0.03824
2025-04-01 12:07:26.541,0.0381,0.03811
2025-04-01 13:07:29.546,0.03806,0.03807
2025-04-01 13:07:29.553,0.03818,0.03819
2025-04-02 10:05:26.828,0.03803,0.03804
2025-04-02 11:02:26.521,0.03803,0.03804
2025-04-02 12:07:27.258,0.03812,0.03813
2025-04-02 13:02:29.935,0.038,0.03801
2025-04-02 13:02:29.942,0.03794,0.03796
2025-04-03 10:08:26.905,0.03854,0.03855
2025-04-03 11:08:26.211,0.03844,0.03846
2025-04-03 12:11:26.577,0.0385,0.03851
2025-04-03 13:03:27.747,0.03836,0.03837
2025-04-03 13:03:27.756,0.03838,0.03839
2025-04-04 10:05:27.648,0.03934,0.03935
2025-04-04 11:11:26.433,0.03965,0.03966
2025-04-04 12:11:28.001,0.03984,0.03985
2025-04-04 13:07:28.522,0.03977,0.03978
2025-04-04 13:07:28.528,0.03958,0.0396
2025-04-07 10:03:08.751,0.03992,0.03993
2025-04-07 11:03:26.863,0.04001,0.04002
2025-04-07 12:11:45.424,0.03978,0.03979
2025-04-07 13:09:28.175,0.04006,0.04007
2025-04-07 13:09:28.183,0.03978,0.0398
2025-04-08 10:10:26.868,0.04023,0.04024
2025-04-08 11:06:26.010,0.03993,0.03994
2025-04-08 12:10:27.734,0.04045,0.04046
2025-04-08 13:04:41.068,0.04075,0.04075
2025-04-08 13:04:41.076,0.04038,0.04038
2025-04-09 10:09:27.156,0.0421,0.04211
2025-04-09 11:10:27.992,0.04181,0.04182
2025-04-09 12:06:26.570,0.04186,0.04188
2025-04-09 13:06:01.572,0.04166,0.04167
2025-04-09 13:06:01.578,0.04176,0.04177
2025-04-10 10:04:26.640,0.04048,0.04049
2025-04-10 11:06:26.835,0.0407,0.0407
2025-04-10 12:02:27.575,0.04094,0.04095
2025-04-10 13:09:27.614,0.04113,0.04114
2025-04-10 13:09:27.619,0.04094,0.04095
2025-04-11 10:05:24.709,0.04109,0.0411
2025-04-11 11:05:25.913,0.04112,0.04113
2025-04-11 12:02:47.490,0.04102,0.04103
2025-04-11 13:08:27.760,0.04082,0.04083
2025-04-11 13:08:27.767,0.0409,0.04091
